Inn,Ball,Ball_no,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_player
1,101,16.4,"KD Karthik","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,102,16.5,"KD Karthik","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,103,16.6,"KD Karthik","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,104,17.1,"SR Tendulkar","KD Karthik","RE van der Merwe",2,0,,,,,,,
1,105,17.2,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,106,17.3,"KD Karthik","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,107,17.4,"KD Karthik","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,108,17.5,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,109,17.6,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,110,18.1,"SR Tendulkar","KD Karthik","CK Langeveldt",0,0,,,,,,,
1,111,18.2,"SR Tendulkar","KD Karthik","CK Langeveldt",1,0,,,,,,,
1,112,18.3,"KD Karthik","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,113,18.4,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,114,18.5,"SR Tendulkar","KD Karthik","CK Langeveldt",1,0,,,,,,,
1,115,18.6,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,116,19.1,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,117,19.2,"SR Tendulkar","KD Karthik","RE van der Merwe",0,1,,,,1,,,
1,118,19.3,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,119,19.4,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,120,19.5,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,121,19.6,"SR Tendulkar","KD Karthik","RE van der Merwe",4,0,,,,,,,
1,122,20.1,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,123,20.2,"SR Tendulkar","KD Karthik","CK Langeveldt",1,0,,,,,,,
1,124,20.3,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,125,20.4,"SR Tendulkar","KD Karthik","CK Langeveldt",1,0,,,,,,,
1,126,20.5,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,127,20.6,"SR Tendulkar","KD Karthik","CK Langeveldt",1,0,,,,,,,
1,128,21.1,"SR Tendulkar","KD Karthik","RE van der Merwe",0,0,,,,,,,
1,129,21.2,"SR Tendulkar","KD Karthik","RE van der Merwe",0,1,1,,,,,,
1,130,21.3,"SR Tendulkar","KD Karthik","RE van der Merwe",0,0,,,,,,,
1,131,21.4,"SR Tendulkar","KD Karthik","RE van der Merwe",4,0,,,,,,,
1,132,21.5,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,133,21.6,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,134,21.7,"SR Tendulkar","KD Karthik","RE van der Merwe",0,0,,,,,,,
1,135,22.1,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,136,22.2,"SR Tendulkar","KD Karthik","CK Langeveldt",0,0,,,,,,,
1,137,22.3,"SR Tendulkar","KD Karthik","CK Langeveldt",1,0,,,,,,,
1,138,22.4,"KD Karthik","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,139,22.5,"SR Tendulkar","KD Karthik","CK Langeveldt",0,0,,,,,,,
1,140,22.6,"SR Tendulkar","KD Karthik","CK Langeveldt",0,0,,,,,,,
1,141,23.1,"KD Karthik","SR Tendulkar","JP Duminy",1,0,,,,,,,
1,142,23.2,"SR Tendulkar","KD Karthik","JP Duminy",1,0,,,,,,,
1,143,23.3,"KD Karthik","SR Tendulkar","JP Duminy",1,0,,,,,,,
1,144,23.4,"SR Tendulkar","KD Karthik","JP Duminy",2,0,,,,,,,
1,145,23.5,"SR Tendulkar","KD Karthik","JP Duminy",0,0,,,,,,,
1,146,23.6,"SR Tendulkar","KD Karthik","JP Duminy",0,0,,,,,,,
1,147,24.1,"KD Karthik","SR Tendulkar","JH Kallis",0,0,,,,,,,
1,148,24.2,"KD Karthik","SR Tendulkar","JH Kallis",4,0,,,,,,,
1,149,24.3,"KD Karthik","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,150,24.4,"SR Tendulkar","KD Karthik","JH Kallis",1,0,,,,,,,
1,151,24.5,"KD Karthik","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,152,24.6,"SR Tendulkar","KD Karthik","JH Kallis",0,1,1,,,,,,
1,153,24.7,"SR Tendulkar","KD Karthik","JH Kallis",1,0,,,,,,,
1,154,25.1,"SR Tendulkar","KD Karthik","JP Duminy",0,0,,,,,,,
1,155,25.2,"SR Tendulkar","KD Karthik","JP Duminy",0,0,,,,,,,
1,156,25.3,"SR Tendulkar","KD Karthik","JP Duminy",1,0,,,,,,,
1,157,25.4,"KD Karthik","SR Tendulkar","JP Duminy",1,0,,,,,,,
1,158,25.5,"SR Tendulkar","KD Karthik","JP Duminy",0,0,,,,,,,
1,159,25.6,"SR Tendulkar","KD Karthik","JP Duminy",1,0,,,,,,,
1,160,26.1,"SR Tendulkar","KD Karthik","JH Kallis",1,0,,,,,,,
1,161,26.2,"KD Karthik","SR Tendulkar","JH Kallis",0,0,,,,,,,
1,162,26.3,"KD Karthik","SR Tendulkar","JH Kallis",0,0,,,,,,,
1,163,26.4,"KD Karthik","SR Tendulkar","JH Kallis",6,0,,,,,,,
1,164,26.5,"KD Karthik","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,165,26.6,"SR Tendulkar","KD Karthik","JH Kallis",1,0,,,,,,,
1,166,27.1,"SR Tendulkar","KD Karthik","JP Duminy",0,0,,,,,,,
1,167,27.2,"SR Tendulkar","KD Karthik","JP Duminy",1,0,,,,,,,
1,168,27.3,"KD Karthik","SR Tendulkar","JP Duminy",1,0,,,,,,,
1,169,27.4,"SR Tendulkar","KD Karthik","JP Duminy",1,0,,,,,,,
1,170,27.5,"KD Karthik","SR Tendulkar","JP Duminy",1,0,,,,,,,
1,171,27.6,"SR Tendulkar","KD Karthik","JP Duminy",1,0,,,,,,,
1,172,28.1,"SR Tendulkar","KD Karthik","JH Kallis",4,0,,,,,,,
1,173,28.2,"SR Tendulkar","KD Karthik","JH Kallis",0,0,,,,,,,
1,174,28.3,"SR Tendulkar","KD Karthik","JH Kallis",4,0,,,,,,,
1,175,28.4,"SR Tendulkar","KD Karthik","JH Kallis",1,0,,,,,,,
1,176,28.5,"KD Karthik","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,177,28.6,"SR Tendulkar","KD Karthik","JH Kallis",0,0,,,,,,,
1,178,29.1,"KD Karthik","SR Tendulkar","JP Duminy",6,0,,,,,,,
1,179,29.2,"KD Karthik","SR Tendulkar","JP Duminy",1,0,,,,,,,
1,180,29.3,"SR Tendulkar","KD Karthik","JP Duminy",1,0,,,,,,,
1,181,29.4,"KD Karthik","SR Tendulkar","JP Duminy",4,0,,,,,,,
1,182,29.5,"KD Karthik","SR Tendulkar","JP Duminy",0,0,,,,,,,
1,183,29.6,"KD Karthik","SR Tendulkar","JP Duminy",0,0,,,,,,,
1,184,30.1,"SR Tendulkar","KD Karthik","RE van der Merwe",0,0,,,,,,,
1,185,30.2,"SR Tendulkar","KD Karthik","RE van der Merwe",0,0,,,,,,,
1,186,30.3,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,187,30.4,"KD Karthik","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,188,30.5,"KD Karthik","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,189,30.6,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,190,31.1,"KD Karthik","SR Tendulkar","JP Duminy",1,0,,,,,,,
1,191,31.2,"SR Tendulkar","KD Karthik","JP Duminy",6,0,,,,,,,
1,192,31.3,"SR Tendulkar","KD Karthik","JP Duminy",1,0,,,,,,,
1,193,31.4,"KD Karthik","SR Tendulkar","JP Duminy",0,0,,,,,,,
1,194,31.5,"KD Karthik","SR Tendulkar","JP Duminy",1,0,,,,,,,
1,195,31.6,"SR Tendulkar","KD Karthik","JP Duminy",4,0,,,,,,,
1,196,32.1,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,197,32.2,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,198,32.3,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,199,32.4,"SR Tendulkar","KD Karthik","RE van der Merwe",1,0,,,,,,,
1,200,32.5,"KD Karthik","SR Tendulkar","RE van der Merwe",0,0,,,,,,,
1,201,32.6,"KD Karthik","SR Tendulkar","RE van der Merwe",1,0,,,,,,,
1,202,33.1,"KD Karthik","SR Tendulkar","WD Parnell",0,1,1,,,,,,
1,203,33.2,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,204,33.3,"KD Karthik","SR Tendulkar","WD Parnell",0,0,,,,,,caught,"KD Karthik"
1,205,33.4,"YK Pathan","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,206,33.5,"YK Pathan","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,207,33.6,"YK Pathan","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,208,33.7,"YK Pathan","SR Tendulkar","WD Parnell",0,0,,,,,,,
1,209,34.1,"SR Tendulkar","YK Pathan","DW Steyn",0,0,,,,,,,
1,210,34.2,"SR Tendulkar","YK Pathan","DW Steyn",4,0,,,,,,,
1,211,34.3,"SR Tendulkar","YK Pathan","DW Steyn",0,0,,,,,,,
1,212,34.4,"SR Tendulkar","YK Pathan","DW Steyn",0,0,,,,,,,
1,213,34.5,"SR Tendulkar","YK Pathan","DW Steyn",4,0,,,,,,,
1,214,34.6,"SR Tendulkar","YK Pathan","DW Steyn",1,0,,,,,,,
